"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.800508910E-1,6.743087769E-1,1.150846481E-1,-2.869443893E-1
9.851199020E-1,6.407685876E-1,1.906285286E-1,-3.084192276E-1
9.901502140E-1,6.273245215E-1,1.986007690E-1,-3.389773369E-1
9.951805790E-1,7.031047940E-1,2.276401520E-1,-4.120159149E-1
1.000210839E0,7.508375645E-1,1.847496033E-1,-4.439430237E-1
1.005241152E0,7.829493284E-1,1.870193481E-1,-4.992923737E-1
1.010271464E0,8.285121322E-1,2.249436378E-1,-5.805048943E-1
1.015297402E0,8.185985088E-1,2.527904510E-1,-6.539168358E-1
1.020327714E0,8.038753867E-1,3.256139755E-1,-6.958699226E-1
1.025358027E0,8.463315368E-1,3.239307404E-1,-6.969304085E-1
1.030388287E0,8.547738194E-1,3.195753098E-1,-6.596570015E-1
1.035418652E0,8.598613143E-1,3.796544075E-1,-6.416640282E-1
1.040448964E0,8.353047967E-1,4.372878075E-1,-6.119780540E-1
1.045459485E0,8.812782168E-1,4.946322441E-1,-5.681114197E-1
1.050489798E0,8.969005942E-1,4.825792313E-1,-4.696049690E-1
1.055520162E0,9.630880356E-1,5.564694405E-1,-3.715758324E-1
1.060550423E0,1.026772857E0,5.655393600E-1,-3.310956955E-1
1.065580735E0,1.037875772E0,6.197133064E-1,-2.930107117E-1
1.070611048E0,1.051523924E0,6.854028702E-1,-3.216643333E-1
1.075665162E0,1.070510626E0,7.315502167E-1,-3.523588181E-1
1.080695475E0,1.138479710E0,7.700648308E-1,-4.088745117E-1
1.085725787E0,1.150782108E0,8.272337914E-1,-4.386692047E-1
1.090756048E0,1.081666231E0,1.046408176E0,-5.684871674E-1
1.095786412E0,9.750025272E-1,1.140933990E0,-8.123149872E-1
1.100816725E0,1.077485561E0,1.068815231E0,-7.216644287E-1
1.105844798E0,1.432209253E0,8.264541626E-1,-4.413490295E-1
1.110875110E0,1.680588484E0,5.748867989E-1,-3.157734871E-1
1.115905423E0,1.711091757E0,5.025401115E-1,-4.061961174E-1
1.120935683E0,1.673656702E0,4.891061783E-1,-4.492173195E-1
1.125965995E0,1.567296386E0,5.152702332E-1,-6.001186371E-1
1.130996308E0,1.519801855E0,4.805369377E-1,-6.723904610E-1
1.136029902E0,1.563878775E0,4.352917671E-1,-4.613204002E-1
1.141060214E0,1.545350075E0,3.128404617E-1,-3.424978256E-1
1.146090527E0,1.487861276E0,2.899074554E-1,-2.963132858E-1
1.151120839E0,1.382355452E0,3.658270836E-1,-3.556966782E-1
1.156151152E0,1.279793739E0,4.352674484E-1,-4.701652527E-1
1.161181464E0,1.090159416E0,5.074496269E-1,-5.343809128E-1
1.166157558E0,9.413191676E-1,6.465969086E-1,-5.843524933E-1
1.171187870E0,9.329469800E-1,6.858954430E-1,-5.226058960E-1
