"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.498454387E1,6.502262260E1,2.549229229E1,1.014002315E1,1.039999962E0,2.748999939E2,3.790092468E0,2.500000000E0
8.598555861E1,6.502262309E1,2.549227076E1,1.049750418E1,1.059999943E0,2.772999878E2,3.790092468E0,2.500000000E0
8.697925716E1,6.502262438E1,2.549224870E1,1.032422316E1,1.059999943E0,2.807000122E2,3.790092468E0,2.500000000E0
8.799135512E1,6.502262676E1,2.549222984E1,1.023083701E1,1.059999943E0,2.801000061E2,3.790092468E0,2.500000000E0
8.898374616E1,6.502262896E1,2.549221004E1,1.017681854E1,1.059999943E0,2.782000122E2,3.790092468E0,2.500000000E0
8.997905278E1,6.502263022E1,2.549218846E1,1.030779782E1,1.000000000E0,2.755000000E2,3.790092468E0,2.500000000E0
9.098601309E1,6.502263072E1,2.549216701E1,1.029253715E1,1.039999962E0,2.716000061E2,3.790092468E0,2.500000000E0
9.198499788E1,6.502263186E1,2.549214301E1,1.021245671E1,1.080000043E0,2.747000122E2,3.790092468E0,2.500000000E0
9.298059444E1,6.502263357E1,2.549212134E1,1.009313064E1,1.029999971E0,2.795000000E2,3.790092468E0,2.500000000E0
9.398388533E1,6.502263560E1,2.549209926E1,1.014867015E1,1.039999962E0,2.826000061E2,3.790092468E0,2.500000000E0
9.498603934E1,6.502263621E1,2.549207573E1,1.002684190E1,1.090000033E0,2.760000000E2,3.790092468E0,2.500000000E0
9.598210220E1,6.502263674E1,2.549205442E1,1.016307048E1,1.019999981E0,2.767999878E2,3.790092468E0,2.500000000E0
9.698681976E1,6.502263505E1,2.549203240E1,1.037998829E1,1.039999962E0,2.652000122E2,3.790092468E0,2.500000000E0
9.798767012E1,6.502263453E1,2.549200977E1,1.015495007E1,1.080000043E0,2.682000122E2,3.790092468E0,2.500000000E0
9.898039892E1,6.502263564E1,2.549198881E1,1.003611255E1,1.080000043E0,2.756000061E2,3.790092468E0,2.500000000E0
9.997113444E1,6.502263733E1,2.549197163E1,9.466347398E0,1.019999981E0,2.785000000E2,3.790092468E0,2.500000000E0
1.009717805E2,6.502263911E1,2.549195283E1,9.372717336E0,1.019999981E0,2.793999939E2,3.790092468E0,2.500000000E0
1.019776556E2,6.502263976E1,2.549193218E1,8.935154429E0,1.049999952E0,2.756000061E2,3.790092468E0,2.500000000E0
1.029864086E2,6.502264027E1,2.549191200E1,8.793551082E0,1.000000000E0,2.726000061E2,3.790092468E0,2.500000000E0
1.039866412E2,6.502264021E1,2.549188950E1,8.460419437E0,1.029999971E0,2.718999939E2,3.790092468E0,2.500000000E0
1.049801543E2,6.502264135E1,2.549186745E1,8.376921183E0,1.049999952E0,2.785000000E2,3.790092468E0,2.500000000E0
1.059816734E2,6.502264312E1,2.549184534E1,8.026882170E0,1.019999981E0,2.823999939E2,3.790092468E0,2.500000000E0
1.069869336E2,6.502264545E1,2.549182141E1,8.043786170E0,1.080000043E0,2.842999878E2,3.790092468E0,2.500000000E0
1.079858391E2,6.502264729E1,2.549179816E1,7.967489717E0,1.080000043E0,2.815000000E2,3.790092468E0,2.500000000E0
1.089843329E2,6.502264899E1,2.549177472E1,7.604205995E0,1.070000052E0,2.791000061E2,3.790092468E0,2.500000000E0
1.099877427E2,6.502265017E1,2.549175087E1,7.491471744E0,1.049999952E0,2.783999939E2,3.790092468E0,2.500000000E0
1.109726997E2,6.502265073E1,2.549172817E1,7.883864761E0,1.049999952E0,2.758999939E2,3.790092468E0,2.500000000E0
1.119836705E2,6.502265106E1,2.549170572E1,8.402051338E0,1.039999962E0,2.735000000E2,3.790092468E0,2.500000000E0
1.129870580E2,6.502265182E1,2.549168221E1,8.270945684E0,1.090000033E0,2.726000061E2,3.790092468E0,2.500000000E0
1.139894703E2,6.502265268E1,2.549165981E1,8.578316644E0,1.029999971E0,2.717000122E2,3.790092468E0,2.500000000E0
1.149903530E2,6.502265424E1,2.549163781E1,8.699652226E0,1.049999952E0,2.757000122E2,3.790092468E0,2.500000000E0
1.159730864E2,6.502265508E1,2.549161603E1,8.800297169E0,1.039999962E0,2.777999878E2,3.790092468E0,2.500000000E0
1.169853397E2,6.502265519E1,2.549159184E1,8.766359664E0,1.090000033E0,2.728999939E2,3.790092468E0,2.500000000E0
1.179857319E2,6.502265659E1,2.549156754E1,8.851379204E0,1.110000014E0,2.790000000E2,3.790092468E0,2.500000000E0
1.189859208E2,6.502265823E1,2.549154437E1,9.173215153E0,1.059999943E0,2.782999878E2,3.790092468E0,2.500000000E0
1.199772120E2,6.502266055E1,2.549152178E1,8.914545531E0,1.049999952E0,2.822000122E2,3.790092468E0,2.500000000E0
1.209715017E2,6.502266302E1,2.549149901E1,9.374992052E0,1.090000033E0,2.857000122E2,3.790092468E0,2.500000000E0
1.219892924E2,6.502266510E1,2.549147670E1,9.539662382E0,1.049999952E0,2.813999939E2,3.790092468E0,2.500000000E0
1.229713285E2,6.502266628E1,2.549145470E1,9.392077203E0,1.019999981E0,2.737999878E2,3.790092468E0,2.500000000E0
1.239873410E2,6.502266744E1,2.549143087E1,9.240341496E0,1.070000052E0,2.751000061E2,3.790092468E0,2.500000000E0
1.249916326E2,6.502266971E1,2.549140640E1,9.168988637E0,1.120000005E0,2.803999939E2,3.790092468E0,2.500000000E0
1.259706227E2,6.502267195E1,2.549138267E1,8.778544051E0,1.110000014E0,2.807999878E2,3.790092468E0,2.500000000E0
1.269852521E2,6.502267330E1,2.549135861E1,8.556007475E0,1.090000033E0,2.781000061E2,3.790092468E0,2.500000000E0
1.279894893E2,6.502267402E1,2.549133463E1,8.279882266E0,1.129999995E0,2.723999939E2,3.790092468E0,2.500000000E0
1.289860320E2,6.502267499E1,2.549131109E1,8.538363935E0,1.049999952E0,2.725000000E2,3.790092468E0,2.500000000E0
1.299853598E2,6.502267594E1,2.549128722E1,8.523163945E0,1.049999952E0,2.736000061E2,3.790092468E0,2.500000000E0
1.309856722E2,6.502267657E1,2.549126224E1,8.444548454E0,1.120000005E0,2.740000000E2,3.790092468E0,2.500000000E0
1.319707230E2,6.502267811E1,2.549123812E1,8.109829188E0,1.110000014E0,2.787999878E2,3.790092468E0,2.500000000E0
1.329836202E2,6.502267930E1,2.549121483E1,7.865075933E0,1.070000052E0,2.781000061E2,3.790092468E0,2.500000000E0
1.339868164E2,6.502268076E1,2.549119294E1,7.979697693E0,1.059999943E0,2.803999939E2,3.790092468E0,2.500000000E0
1.349887749E2,6.502268200E1,2.549117005E1,7.928425897E0,1.059999943E0,2.783999939E2,3.790092468E0,2.500000000E0
1.359859205E2,6.502268182E1,2.549114667E1,7.845965612E0,1.080000043E0,2.721000061E2,3.790092468E0,2.500000000E0
1.369890142E2,6.502268165E1,2.549112444E1,7.778764203E0,1.039999962E0,2.737000122E2,3.790092468E0,2.500000000E0
1.379855468E2,6.502268271E1,2.549110148E1,7.622878209E0,1.080000043E0,2.752000122E2,3.790092468E0,2.500000000E0
1.389687608E2,6.502268345E1,2.549107849E1,7.414624165E0,1.090000033E0,2.765000000E2,3.790092468E0,2.500000000E0
1.399724437E2,6.502268450E1,2.549105598E1,7.357065847E0,1.029999971E0,2.758999939E2,3.790092468E0,2.500000000E0
1.409699785E2,6.502268525E1,2.549103296E1,7.141548613E0,1.059999943E0,2.755000000E2,3.790092468E0,2.500000000E0
1.419682142E2,6.502268606E1,2.549100846E1,7.213689931E0,1.080000043E0,2.760000000E2,3.790092468E0,2.500000000E0
1.429855697E2,6.502268650E1,2.549098367E1,6.949893860E0,1.000000000E0,2.726000061E2,3.790092468E0,2.500000000E0
1.439845464E2,6.502268713E1,2.549095946E1,6.916566516E0,1.039999962E0,2.758999939E2,3.790092468E0,2.500000000E0
1.449704052E2,6.502268830E1,2.549093258E1,6.820555660E0,1.159999967E0,2.743999939E2,3.790092468E0,2.500000000E0
1.459884181E2,6.502268888E1,2.549090589E1,6.831234485E0,1.120000005E0,2.711000061E2,3.790092468E0,2.500000000E0
1.469822490E2,6.502269017E1,2.549088194E1,6.935113955E0,1.029999971E0,2.766000061E2,3.790092468E0,2.500000000E0
1.479814317E2,6.502269343E1,2.549085624E1,6.971853900E0,1.059999943E0,2.820000000E2,3.790092468E0,2.500000000E0
1.489798854E2,6.502269539E1,2.549083010E1,6.721790082E0,1.029999971E0,2.777000122E2,3.790092468E0,2.500000000E0
1.499826339E2,6.502269693E1,2.549080469E1,6.535325107E0,1.019999981E0,2.742999878E2,3.790092468E0,2.500000000E0
1.509723971E2,6.502269695E1,2.549077842E1,6.215010515E0,1.049999952E0,2.695000000E2,3.790092468E0,2.500000000E0
1.519691700E2,6.502269646E1,2.549075061E1,6.237957705E0,1.080000043E0,2.721000061E2,3.790092468E0,2.500000000E0
1.529689982E2,6.502269742E1,2.549072727E1,6.308756287E0,1.049999952E0,2.810000000E2,3.790092468E0,2.500000000E0
1.539836387E2,6.502270012E1,2.549070828E1,6.145606831E0,1.029999971E0,2.801000061E2,3.790092468E0,2.500000000E0
1.549712918E2,6.502270353E1,2.549068702E1,6.160740628E0,1.059999943E0,2.831000061E2,3.790092468E0,2.500000000E0
1.559798416E2,6.502270430E1,2.549066526E1,6.063326514E0,1.000000000E0,2.747000122E2,3.790092468E0,2.500000000E0
1.569838894E2,6.502270417E1,2.549064119E1,6.126740178E0,1.090000033E0,2.710000000E2,3.790092468E0,2.500000000E0
1.579853418E2,6.502270416E1,2.549061852E1,6.112517192E0,1.110000014E0,2.718999939E2,3.790092468E0,2.500000000E0
1.589741547E2,6.502270531E1,2.549059684E1,6.007412516E0,1.059999943E0,2.763999939E2,3.790092468E0,2.500000000E0
1.599850478E2,6.502270719E1,2.549057591E1,6.061731464E0,1.029999971E0,2.811000061E2,3.790092468E0,2.500000000E0
1.609855272E2,6.502270927E1,2.549055275E1,5.956565299E0,1.080000043E0,2.807000122E2,3.790092468E0,2.500000000E0
1.619846609E2,6.502271017E1,2.549053052E1,5.939839577E0,1.059999943E0,2.743999939E2,3.790092468E0,2.500000000E0
1.629719934E2,6.502271087E1,2.549050673E1,6.167498568E0,1.100000024E0,2.756000061E2,3.790092468E0,2.500000000E0
1.639705417E2,6.502271100E1,2.549048294E1,6.167374563E0,1.110000014E0,2.752000122E2,3.790092468E0,2.500000000E0
1.649743832E2,6.502271090E1,2.549045702E1,6.352858382E0,1.169999957E0,2.781000061E2,3.790092468E0,2.500000000E0
1.659824934E2,6.502271184E1,2.549043158E1,6.609691961E0,1.049999952E0,2.808999939E2,3.790092468E0,2.500000000E0
1.669817543E2,6.502271334E1,2.549040550E1,6.772348039E0,1.120000005E0,2.813999939E2,3.790092468E0,2.500000000E0
1.679893643E2,6.502271497E1,2.549037978E1,6.725409373E0,1.120000005E0,2.798999939E2,3.790092468E0,2.500000000E0
1.689869252E2,6.502271545E1,2.549035346E1,6.638432013E0,1.090000033E0,2.727999878E2,3.790092468E0,2.500000000E0
1.699858386E2,6.502271503E1,2.549032745E1,6.772280199E0,1.100000024E0,2.682000122E2,3.790092468E0,2.500000000E0
1.709729336E2,6.502271428E1,2.549030094E1,6.715393601E0,1.159999967E0,2.718999939E2,3.790092468E0,2.500000000E0
1.719902509E2,6.502271457E1,2.549027820E1,6.539610442E0,1.039999962E0,2.772999878E2,3.790092468E0,2.500000000E0
1.729795498E2,6.502271507E1,2.549025697E1,6.663632013E0,1.080000043E0,2.756000061E2,3.790092468E0,2.500000000E0
1.739844986E2,6.502271548E1,2.549023209E1,6.684625984E0,1.090000033E0,2.736000061E2,3.790092468E0,2.500000000E0
1.749702334E2,6.502271533E1,2.549020685E1,6.633720715E0,1.149999976E0,2.711000061E2,3.790092468E0,2.500000000E0
1.759738266E2,6.502271515E1,2.549018319E1,6.494375641E0,1.090000033E0,2.697999878E2,3.790092468E0,2.500000000E0
1.769836016E2,6.502271664E1,2.549015954E1,6.451953791E0,1.100000024E0,2.782000122E2,3.790092468E0,2.500000000E0
1.779731071E2,6.502271841E1,2.549013616E1,6.543748169E0,1.100000024E0,2.797999878E2,3.790092468E0,2.500000000E0
1.789887353E2,6.502271965E1,2.549011336E1,6.639571106E0,1.090000033E0,2.750000000E2,3.790092468E0,2.500000000E0
1.799838661E2,6.502272039E1,2.549009109E1,6.854779031E0,1.070000052E0,2.733999939E2,3.790092468E0,2.500000000E0
1.809844288E2,6.502272164E1,2.549007172E1,6.586344424E0,1.100000024E0,2.693999939E2,3.790092468E0,2.500000000E0
1.819758222E2,6.502272330E1,2.549004854E1,6.782508975E0,1.120000005E0,2.747999878E2,3.790092468E0,2.500000000E0
1.829732934E2,6.502272511E1,2.549002699E1,6.384191179E0,1.059999943E0,2.780000000E2,3.790092468E0,2.500000000E0
1.839849395E2,6.502272581E1,2.549000244E1,6.606479016E0,1.100000024E0,2.740000000E2,3.790092468E0,2.500000000E0
